"Catalog","OSDVersion","OSDStatus","UpdateOS","UpdateBuild","UpdateArch","UpdateGroup","CreationDate","KBNumber","FileKBNumber","Title","UpdateId","LegacyName","Type","FileName","Size","CompanyTitles","ProductFamilyTitles","Category","UpdateClassificationTitle","MsrcSeverity","SecurityBulletins","UpdateType","PublicationState","HasLicenseAgreement","RequiresLicenseAgreementAcceptance","State","IsLatestRevision","HasEarlierRevision","IsBeta","HasStaleUpdateApprovals","IsApproved","IsDeclined","HasSupersededUpdates","IsSuperseded","IsWsusInfrastructureUpdate","IsEditable","UpdateSource","AdditionalInformationUrls","Description","ReleaseNotes","FileUri","OriginUri","Hash","AdditionalHash","OSDCore","OSDWinPE","OSDGuid","PartitionKey","RowKey"
"FeatureUpdate Windows 10 21H2","22.6.14.1","","Windows 10","21H2","x86","","5/23/2022 9:00:00 PM","3012973","19044 1706 220505 0136","Windows 10 (consumer editions) version 21H2 zh-tw x86 19044.1706","8879b61e-1e52-4b5e-a8da-f42d7be2c287","","None","19044.1706.220505-0136.21h2_release_svc_refresh_CLIENTCONSUMER_RET_x86FRE_zh-tw.esd","2871633033","Microsoft","Windows","Windows 10, version 1903 and later","Upgrades","Unspecified","","Software","Published","False","False","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","http://go.microsoft.com/fwlink/?LinkID=507415","Install the latest update for Windows 10: Windows 10, version 21H2.","","http://b1.download.windowsupdate.com/c/upgr/2022/05/19044.1706.220505-0136.21h2_release_svc_refresh_clientconsumer_ret_x86fre_zh-tw_d4d3b3adf56323081a65bf50dc545f99f2f73e3b.esd","http://b1.download.windowsupdate.com/c/upgr/2022/05/19044.1706.220505-0136.21h2_release_svc_refresh_clientconsumer_ret_x86fre_zh-tw_d4d3b3adf56323081a65bf50dc545f99f2f73e3b.esd","212 211 179 173 245 99 35 8 26 101 191 80 220 84 95 153 242 247 62 59","206 108 9 220 164 54 162 121 199 233 31 145 185 96 60 55 6 114 75 55 29 27 57 63 188 119 214 87 140 230 108 243","","","3bb26e06-2e8a-4655-8e20-dec055eafdc5","FeatureUpdate Windows 10 21H2","3bb26e06-2e8a-4655-8e20-dec055eafdc5"
"FeatureUpdate Windows 10 21H2","22.6.14.1","","Windows 10","21H2","x64","","5/23/2022 9:00:00 PM","3012973","19044 1706 220505 0136","Windows 10 (business editions) version 21H2 ar-sa x64 19044.1706","27e9d415-9076-46e6-a416-3c34ef619a5e","","None","19044.1706.220505-0136.21h2_release_svc_refresh_CLIENTBUSINESS_VOL_x64FRE_ar-sa.esd","3681231117","Microsoft","Windows","Windows 10, version 1903 and later","Upgrades","Unspecified","","Software","Published","False","False","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","http://go.microsoft.com/fwlink/?LinkID=507415","Install the latest update for Windows 10: Windows 10, version 21H2.","","http://b1.download.windowsupdate.com/c/upgr/2022/05/19044.1706.220505-0136.21h2_release_svc_refresh_clientbusiness_vol_x64fre_ar-sa_b2c250f80e72c9c9358ced8748d96e9acbaba8d2.esd","http://b1.download.windowsupdate.com/c/upgr/2022/05/19044.1706.220505-0136.21h2_release_svc_refresh_clientbusiness_vol_x64fre_ar-sa_b2c250f80e72c9c9358ced8748d96e9acbaba8d2.esd","178 194 80 248 14 114 201 201 53 140 237 135 72 217 110 154 203 171 168 210","249 18 163 140 4 206 74 232 120 29 163 2 91 115 132 16 38 91 153 30 245 125 63 136 106 118 102 226 202 81 189 85","","","14834e55-2386-41f7-9985-9428760b6043","FeatureUpdate Windows 10 21H2","14834e55-2386-41f7-9985-9428760b6043"
"FeatureUpdate Windows 10 21H2","22.6.14.1","","Windows 10","21H2","x86","","5/23/2022 9:00:00 PM","3012973","19044 1706 220505 0136","Windows 10 (business editions) version 21H2 ar-sa x86 19044.1706","7aeb850a-9092-4ea9-a228-e246f2f8b1d2","","None","19044.1706.220505-0136.21h2_release_svc_refresh_CLIENTBUSINESS_VOL_x86FRE_ar-sa.esd","2649830507","Microsoft","Windows","Windows 10, version 1903 and later","Upgrades","Unspecified","","Software","Published","False","False","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","http://go.microsoft.com/fwlink/?LinkID=507415","Install the latest update for Windows 10: Windows 10, version 21H2.","","http://b1.download.windowsupdate.com/c/upgr/2022/05/19044.1706.220505-0136.21h2_release_svc_refresh_clientbusiness_vol_x86fre_ar-sa_13cb38250a278cc918935972d0cb4e7beb521d81.esd","http://b1.download.windowsupdate.com/c/upgr/2022/05/19044.1706.220505-0136.21h2_release_svc_refresh_clientbusiness_vol_x86fre_ar-sa_13cb38250a278cc918935972d0cb4e7beb521d81.esd","19 203 56 37 10 39 140 201 24 147 89 114 208 203 78 123 235 82 29 129","85 89 79 135 91 36 107 219 198 228 67 185 162 29 108 242 19 150 188 47 245 77 162 48 149 119 43 148 166 92 212 77","","","6e93f4e2-fd6e-4c01-8514-f67cf6485c9d","FeatureUpdate Windows 10 21H2","6e93f4e2-fd6e-4c01-8514-f67cf6485c9d"
"FeatureUpdate Windows 10 21H2","22.6.14.1","","Windows 10","21H2","x64","","5/23/2022 9:00:00 PM","3012973","19044 1706 220505 0136","Windows 10 (business editions) version 21H2 bg-bg x64 19044.1706","9c4e3306-09b6-4cbe-b09c-0db7ba08b0b4","","None","19044.1706.220505-0136.21h2_release_svc_refresh_CLIENTBUSINESS_VOL_x64FRE_bg-bg.esd","3764449123","Microsoft","Windows","Windows 10, version 1903 and later","Upgrades","Unspecified","","Software","Published","False","False","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","http://go.microsoft.com/fwlink/?LinkID=507415","Install the latest update for Windows 10: Windows 10, version 21H2.","","http://b1.download.windowsupdate.com/c/upgr/2022/05/19044.1706.220505-0136.21h2_release_svc_refresh_clientbusiness_vol_x64fre_bg-bg_412c2b897b3795bf02f2ebd6fd0d972151921794.esd","http://b1.download.windowsupdate.com/c/upgr/2022/05/19044.1706.220505-0136.21h2_release_svc_refresh_clientbusiness_vol_x64fre_bg-bg_412c2b897b3795bf02f2ebd6fd0d972151921794.esd","65 44 43 137 123 55 149 191 2 242 235 214 253 13 151 33 81 146 23 148","166 240 76 167 132 21 84 213 231 157 8 252 9 249 253 55 103 186 84 184 134 12 207 13 196 161 175 31 64 236 191 139","","","b56342a4-dc84-47a7-b4be-02ddfdd742a1","FeatureUpdate Windows 10 21H2","b56342a4-dc84-47a7-b4be-02ddfdd742a1"
"FeatureUpdate Windows 10 21H2","22.6.14.1","","Windows 10","21H2","x86","","5/23/2022 9:00:00 PM","3012973","19044 1706 220505 0136","Windows 10 (business editions) version 21H2 bg-bg x86 19044.1706","a93c3952-5920-4f24-b95a-7d8da900a8a7","","None","19044.1706.220505-0136.21h2_release_svc_refresh_CLIENTBUSINESS_VOL_x86FRE_bg-bg.esd","2680118600","Microsoft","Windows","Windows 10, version 1903 and later","Upgrades","Unspecified","","Software","Published","False","False","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","http://go.microsoft.com/fwlink/?LinkID=507415","Install the latest update for Windows 10: Windows 10, version 21H2.","","http://b1.download.windowsupdate.com/c/upgr/2022/05/19044.1706.220505-0136.21h2_release_svc_refresh_clientbusiness_vol_x86fre_bg-bg_7f0361d326c5b26a9c020ef232d8c6bd7ca01210.esd","http://b1.download.windowsupdate.com/c/upgr/2022/05/19044.1706.220505-0136.21h2_release_svc_refresh_clientbusiness_vol_x86fre_bg-bg_7f0361d326c5b26a9c020ef232d8c6bd7ca01210.esd","127 3 97 211 38 197 178 106 156 2 14 242 50 216 198 189 124 160 18 16","125 21 91 1 115 63 226 114 213 6 147 75 212 161 94 184 248 248 252 236 82 84 168 119 197 18 115 194 99 44 111 54","","","c69d1c58-a0d0-426a-8c32-926292ef3f7d","FeatureUpdate Windows 10 21H2","c69d1c58-a0d0-426a-8c32-926292ef3f7d"
"FeatureUpdate Windows 10 21H2","22.6.14.1","","Windows 10","21H2","x64","","5/23/2022 9:00:00 PM","3012973","19044 1706 220505 0136","Windows 10 (business editions) version 21H2 cs-cz x64 19044.1706","517938b2-6078-4c76-b7e0-ffb70ac3c5f1","","None","19044.1706.220505-0136.21h2_release_svc_refresh_CLIENTBUSINESS_VOL_x64FRE_cs-cz.esd","3759458309","Microsoft","Windows","Windows 10, version 1903 and later","Upgrades","Unspecified","","Software","Published","False","False","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","http://go.microsoft.com/fwlink/?LinkID=507415","Install the latest update for Windows 10: Windows 10, version 21H2.","","http://b1.download.windowsupdate.com/c/upgr/2022/05/19044.1706.220505-0136.21h2_release_svc_refresh_clientbusiness_vol_x64fre_cs-cz_c7050864fbaf16358147cae43f265590c8a41784.esd","http://b1.download.windowsupdate.com/c/upgr/2022/05/19044.1706.220505-0136.21h2_release_svc_refresh_clientbusiness_vol_x64fre_cs-cz_c7050864fbaf16358147cae43f265590c8a41784.esd","199 5 8 100 251 175 22 53 129 71 202 228 63 38 85 144 200 164 23 132","47 94 19 32 172 81 254 86 235 189 177 217 98 54 222 244 187 154 55 2 155 38 63 38 153 67 40 79 36 164 64 113","","","87cb3a72-1d60-4ebe-aa70-3ebb1bf66506","FeatureUpdate Windows 10 21H2","87cb3a72-1d60-4ebe-aa70-3ebb1bf66506"
"FeatureUpdate Windows 10 21H2","22.6.14.1","","Windows 10","21H2","x86","","5/23/2022 9:00:00 PM","3012973","19044 1706 220505 0136","Windows 10 (business editions) version 21H2 cs-cz x86 19044.1706","a8460d41-b401-407c-b378-ce321009f101","","None","19044.1706.220505-0136.21h2_release_svc_refresh_CLIENTBUSINESS_VOL_x86FRE_cs-cz.esd","2672613648","Microsoft","Windows","Windows 10, version 1903 and later","Upgrades","Unspecified","","Software","Published","False","False","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","http://go.microsoft.com/fwlink/?LinkID=507415","Install the latest update for Windows 10: Windows 10, version 21H2.","","http://b1.download.windowsupdate.com/c/upgr/2022/05/19044.1706.220505-0136.21h2_release_svc_refresh_clientbusiness_vol_x86fre_cs-cz_f9d7a60625f339521f27f506a62c75efc9bc2986.esd","http://b1.download.windowsupdate.com/c/upgr/2022/05/19044.1706.220505-0136.21h2_release_svc_refresh_clientbusiness_vol_x86fre_cs-cz_f9d7a60625f339521f27f506a62c75efc9bc2986.esd","249 215 166 6 37 243 57 82 31 39 245 6 166 44 117 239 201 188 41 134","219 0 16 33 54 137 118 143 214 168 142 13 231 182 122 169 98 0 241 76 53 191 190 231 246 152 3 30 194 163 66 183","","","d7a1c50c-42a7-440a-b349-8ec886530677","FeatureUpdate Windows 10 21H2","d7a1c50c-42a7-440a-b349-8ec886530677"
"FeatureUpdate Windows 10 21H2","22.6.14.1","","Windows 10","21H2","x64","","5/23/2022 9:00:00 PM","3012973","19044 1706 220505 0136","Windows 10 (business editions) version 21H2 da-dk x64 19044.1706","891adeac-159b-493b-9511-26a7d61da18f","","None","19044.1706.220505-0136.21h2_release_svc_refresh_CLIENTBUSINESS_VOL_x64FRE_da-dk.esd","3789938158","Microsoft","Windows","Windows 10, version 1903 and later","Upgrades","Unspecified","","Software","Published","False","False","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","http://go.microsoft.com/fwlink/?LinkID=507415","Install the latest update for Windows 10: Windows 10, version 21H2.","","http://b1.download.windowsupdate.com/c/upgr/2022/05/19044.1706.220505-0136.21h2_release_svc_refresh_clientbusiness_vol_x64fre_da-dk_b8c4db0685b37230bd9753accd28559197c34e33.esd","http://b1.download.windowsupdate.com/c/upgr/2022/05/19044.1706.220505-0136.21h2_release_svc_refresh_clientbusiness_vol_x64fre_da-dk_b8c4db0685b37230bd9753accd28559197c34e33.esd","184 196 219 6 133 179 114 48 189 151 83 172 205 40 85 145 151 195 78 51","213 1 210 22 13 153 240 169 185 72 33 176 10 101 164 194 43 17 20 160 99 107 196 206 109 34 60 91 149 145 205 39","","","02c190e3-4197-4dad-9f8a-2a3aa972b319","FeatureUpdate Windows 10 21H2","02c190e3-4197-4dad-9f8a-2a3aa972b319"
"FeatureUpdate Windows 10 21H2","22.6.14.1","","Windows 10","21H2","x86","","5/23/2022 9:00:00 PM","3012973","19044 1706 220505 0136","Windows 10 (business editions) version 21H2 da-dk x86 19044.1706","332ccc31-0eab-4ff8-9998-a532fb073e62","","None","19044.1706.220505-0136.21h2_release_svc_refresh_CLIENTBUSINESS_VOL_x86FRE_da-dk.esd","2696578184","Microsoft","Windows","Windows 10, version 1903 and later","Upgrades","Unspecified","","Software","Published","False","False","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","http://go.microsoft.com/fwlink/?LinkID=507415","Install the latest update for Windows 10: Windows 10, version 21H2.","","http://download.windowsupdate.com/d/msdownload/update/software/upgr/2022/05/19044.1706.220505-0136.21h2_release_svc_refresh_clientbusiness_vol_x86fre_da-dk_f653d78ee866383981f5abc9ae33a51855a74712.esd","http://download.windowsupdate.com/d/msdownload/update/software/upgr/2022/05/19044.1706.220505-0136.21h2_release_svc_refresh_clientbusiness_vol_x86fre_da-dk_f653d78ee866383981f5abc9ae33a51855a74712.esd","246 83 215 142 232 102 56 57 129 245 171 201 174 51 165 24 85 167 71 18","228 174 71 177 134 126 65 215 200 58 142 174 230 179 184 97 9 121 200 215 172 67 248 186 193 212 38 255 140 206 38 81","","","4de8bac1-0e53-40a1-b662-6a715aefb9a5","FeatureUpdate Windows 10 21H2","4de8bac1-0e53-40a1-b662-6a715aefb9a5"
"FeatureUpdate Windows 10 21H2","22.6.14.1","","Windows 10","21H2","x64","","5/23/2022 9:00:00 PM","3012973","19044 1706 220505 0136","Windows 10 (business editions) version 21H2 de-de x64 19044.1706","5e16b37c-890c-4760-a07d-081d0d539a0e","","None","19044.1706.220505-0136.21h2_release_svc_refresh_CLIENTBUSINESS_VOL_x64FRE_de-de.esd","3890611461","Microsoft","Windows","Windows 10, version 1903 and later","Upgrades","Unspecified","","Software","Published","False","False","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","http://go.microsoft.com/fwlink/?LinkID=507415","Install the latest update for Windows 10: Windows 10, version 21H2.","","http://b1.download.windowsupdate.com/c/upgr/2022/05/19044.1706.220505-0136.21h2_release_svc_refresh_clientbusiness_vol_x64fre_de-de_193f899fb8b28f79dff0a3ffaa874ad56adbc08a.esd","http://b1.download.windowsupdate.com/c/upgr/2022/05/19044.1706.220505-0136.21h2_release_svc_refresh_clientbusiness_vol_x64fre_de-de_193f899fb8b28f79dff0a3ffaa874ad56adbc08a.esd","25 63 137 159 184 178 143 121 223 240 163 255 170 135 74 213 106 219 192 138","231 181 58 90 52 26 24 180 161 87 232 241 148 72 204 59 18 171 224 87 169 18 241 19 201 208 100 109 10 72 59 38","","","a6282616-3ce7-49b8-8c57-625965134cd5","FeatureUpdate Windows 10 21H2","a6282616-3ce7-49b8-8c57-625965134cd5"
"FeatureUpdate Windows 10 21H2","22.6.14.1","","Windows 10","21H2","x86","","5/23/2022 9:00:00 PM","3012973","19044 1706 220505 0136","Windows 10 (business editions) version 21H2 de-de x86 19044.1706","ddf5a246-1289-4399-91f7-10c7ba4703c0","","None","19044.1706.220505-0136.21h2_release_svc_refresh_CLIENTBUSINESS_VOL_x86FRE_de-de.esd","2801405235","Microsoft","Windows","Windows 10, version 1903 and later","Upgrades","Unspecified","","Software","Published","False","False","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","http://go.microsoft.com/fwlink/?LinkID=507415","Install the latest update for Windows 10: Windows 10, version 21H2.","","http://b1.download.windowsupdate.com/c/upgr/2022/05/19044.1706.220505-0136.21h2_release_svc_refresh_clientbusiness_vol_x86fre_de-de_8c63c77f4388edf275fa1a7cce18b9689d8f5692.esd","http://b1.download.windowsupdate.com/c/upgr/2022/05/19044.1706.220505-0136.21h2_release_svc_refresh_clientbusiness_vol_x86fre_de-de_8c63c77f4388edf275fa1a7cce18b9689d8f5692.esd","140 99 199 127 67 136 237 242 117 250 26 124 206 24 185 104 157 143 86 146","37 69 219 162 85 118 83 134 111 130 57 52 138 27 176 26 52 172 141 93 9 247 74 248 14 203 128 227 216 30 96 53","","","9d721c3a-cc31-4734-8880-99e43daeed9b","FeatureUpdate Windows 10 21H2","9d721c3a-cc31-4734-8880-99e43daeed9b"
"FeatureUpdate Windows 10 21H2","22.6.14.1","","Windows 10","21H2","x64","","5/23/2022 9:00:00 PM","3012973","19044 1706 220505 0136","Windows 10 (business editions) version 21H2 el-gr x64 19044.1706","117896f5-a429-4d9a-a1b8-09237a0c3e4f","","None","19044.1706.220505-0136.21h2_release_svc_refresh_CLIENTBUSINESS_VOL_x64FRE_el-gr.esd","3787799199","Microsoft","Windows","Windows 10, version 1903 and later","Upgrades","Unspecified","","Software","Published","False","False","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","http://go.microsoft.com/fwlink/?LinkID=507415","Install the latest update for Windows 10: Windows 10, version 21H2.","","http://b1.download.windowsupdate.com/d/upgr/2022/05/19044.1706.220505-0136.21h2_release_svc_refresh_clientbusiness_vol_x64fre_el-gr_ac12a23d1ca88a9129de9759828663b5869409b4.esd","http://b1.download.windowsupdate.com/d/upgr/2022/05/19044.1706.220505-0136.21h2_release_svc_refresh_clientbusiness_vol_x64fre_el-gr_ac12a23d1ca88a9129de9759828663b5869409b4.esd","172 18 162 61 28 168 138 145 41 222 151 89 130 134 99 181 134 148 9 180","215 79 143 5 40 115 67 210 171 52 124 116 134 175 249 29 7 202 43 28 234 129 200 111 226 149 188 19 55 187 86 132","","","77dd6604-ea8b-4e2c-8837-8b888a493a77","FeatureUpdate Windows 10 21H2","77dd6604-ea8b-4e2c-8837-8b888a493a77"
"FeatureUpdate Windows 10 21H2","22.6.14.1","","Windows 10","21H2","x86","","5/23/2022 9:00:00 PM","3012973","19044 1706 220505 0136","Windows 10 (business editions) version 21H2 el-gr x86 19044.1706","39e030e7-4f63-4327-92b6-194380ef8708","","None","19044.1706.220505-0136.21h2_release_svc_refresh_CLIENTBUSINESS_VOL_x86FRE_el-gr.esd","2690608389","Microsoft","Windows","Windows 10, version 1903 and later","Upgrades","Unspecified","","Software","Published","False","False","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","http://go.microsoft.com/fwlink/?LinkID=507415","Install the latest update for Windows 10: Windows 10, version 21H2.","","http://b1.download.windowsupdate.com/d/upgr/2022/05/19044.1706.220505-0136.21h2_release_svc_refresh_clientbusiness_vol_x86fre_el-gr_e1b7d4e3a59bf749809f55209e80d9a5251bd97f.esd","http://b1.download.windowsupdate.com/d/upgr/2022/05/19044.1706.220505-0136.21h2_release_svc_refresh_clientbusiness_vol_x86fre_el-gr_e1b7d4e3a59bf749809f55209e80d9a5251bd97f.esd","225 183 212 227 165 155 247 73 128 159 85 32 158 128 217 165 37 27 217 127","36 161 74 34 0 3 252 239 46 66 231 198 174 233 215 138 170 66 38 68 76 198 67 167 150 193 193 101 19 41 66 98","","","290b4a3f-6bd6-4bb7-a67d-e8fd672c0e1c","FeatureUpdate Windows 10 21H2","290b4a3f-6bd6-4bb7-a67d-e8fd672c0e1c"
"FeatureUpdate Windows 10 21H2","22.6.14.1","","Windows 10","21H2","x64","","5/23/2022 9:00:00 PM","3012973","19044 1706 220505 0136","Windows 10 (business editions) version 21H2 en-gb x64 19044.1706","3607ed0a-549d-425e-b6ed-e15dd509dd9f","","None","19044.1706.220505-0136.21h2_release_svc_refresh_CLIENTBUSINESS_VOL_x64FRE_en-gb.esd","3859342946","Microsoft","Windows","Windows 10, version 1903 and later","Upgrades","Unspecified","","Software","Published","False","False","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","http://go.microsoft.com/fwlink/?LinkID=507415","Install the latest update for Windows 10: Windows 10, version 21H2.","","http://b1.download.windowsupdate.com/d/upgr/2022/05/19044.1706.220505-0136.21h2_release_svc_refresh_clientbusiness_vol_x64fre_en-gb_0f7c4d9d0b1a27031676cd3bbfc5f618a0799e32.esd","http://b1.download.windowsupdate.com/d/upgr/2022/05/19044.1706.220505-0136.21h2_release_svc_refresh_clientbusiness_vol_x64fre_en-gb_0f7c4d9d0b1a27031676cd3bbfc5f618a0799e32.esd","15 124 77 157 11 26 39 3 22 118 205 59 191 197 246 24 160 121 158 50","98 23 244 63 79 29 115 10 213 231 177 241 171 169 89 152 68 132 226 15 186 126 236 232 64 230 24 121 203 234 205 183","","","76a83ed4-0a41-43f1-aa82-68b83f099c99","FeatureUpdate Windows 10 21H2","76a83ed4-0a41-43f1-aa82-68b83f099c99"
"FeatureUpdate Windows 10 21H2","22.6.14.1","","Windows 10","21H2","x86","","5/23/2022 9:00:00 PM","3012973","19044 1706 220505 0136","Windows 10 (business editions) version 21H2 en-gb x86 19044.1706","f8a2446f-4692-4c8d-bc65-1eeef2187f1b","","None","19044.1706.220505-0136.21h2_release_svc_refresh_CLIENTBUSINESS_VOL_x86FRE_en-gb.esd","2761308925","Microsoft","Windows","Windows 10, version 1903 and later","Upgrades","Unspecified","","Software","Published","False","False","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","http://go.microsoft.com/fwlink/?LinkID=507415","Install the latest update for Windows 10: Windows 10, version 21H2.","","http://b1.download.windowsupdate.com/d/upgr/2022/05/19044.1706.220505-0136.21h2_release_svc_refresh_clientbusiness_vol_x86fre_en-gb_de0fa33f776ddb122f91239f246c40402428d64c.esd","http://b1.download.windowsupdate.com/d/upgr/2022/05/19044.1706.220505-0136.21h2_release_svc_refresh_clientbusiness_vol_x86fre_en-gb_de0fa33f776ddb122f91239f246c40402428d64c.esd","222 15 163 63 119 109 219 18 47 145 35 159 36 108 64 64 36 40 214 76","83 19 62 197 131 143 37 82 97 194 171 202 157 82 193 13 126 97 250 174 236 57 213 53 72 137 25 147 19 70 239 82","","","ef853bd6-ebc7-4f73-b52d-2292c152ca6e","FeatureUpdate Windows 10 21H2","ef853bd6-ebc7-4f73-b52d-2292c152ca6e"
"FeatureUpdate Windows 10 21H2","22.6.14.1","","Windows 10","21H2","x64","","5/23/2022 9:00:00 PM","3012973","19044 1706 220505 0136","Windows 10 (business editions) version 21H2 en-us x64 19044.1706","5dc10004-074d-4b2c-acc0-91f70c1d31f5","","None","19044.1706.220505-0136.21h2_release_svc_refresh_CLIENTBUSINESS_VOL_x64FRE_en-us.esd","3854082120","Microsoft","Windows","Windows 10, version 1903 and later","Upgrades","Unspecified","","Software","Published","False","False","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","http://go.microsoft.com/fwlink/?LinkID=507415","Install the latest update for Windows 10: Windows 10, version 21H2.","","http://b1.download.windowsupdate.com/d/upgr/2022/05/19044.1706.220505-0136.21h2_release_svc_refresh_clientbusiness_vol_x64fre_en-us_03d0a0dfebf88acfce0e6f870cba95ad3b3221c9.esd","http://b1.download.windowsupdate.com/d/upgr/2022/05/19044.1706.220505-0136.21h2_release_svc_refresh_clientbusiness_vol_x64fre_en-us_03d0a0dfebf88acfce0e6f870cba95ad3b3221c9.esd","3 208 160 223 235 248 138 207 206 14 111 135 12 186 149 173 59 50 33 201","91 207 213 28 205 157 109 192 125 233 69 102 81 192 24 132 100 87 91 66 104 33 157 134 20 128 11 186 156 244 245 0","","","a8f0c129-8806-43c9-94c7-477d7bfe41d5","FeatureUpdate Windows 10 21H2","a8f0c129-8806-43c9-94c7-477d7bfe41d5"
"FeatureUpdate Windows 10 21H2","22.6.14.1","","Windows 10","21H2","x86","","5/23/2022 9:00:00 PM","3012973","19044 1706 220505 0136","Windows 10 (business editions) version 21H2 en-us x86 19044.1706","4b7e204a-05ad-42cc-8e1a-d378662649d5","","None","19044.1706.220505-0136.21h2_release_svc_refresh_CLIENTBUSINESS_VOL_x86FRE_en-us.esd","2768588495","Microsoft","Windows","Windows 10, version 1903 and later","Upgrades","Unspecified","","Software","Published","False","False","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","http://go.microsoft.com/fwlink/?LinkID=507415","Install the latest update for Windows 10: Windows 10, version 21H2.","","http://b1.download.windowsupdate.com/c/upgr/2022/05/19044.1706.220505-0136.21h2_release_svc_refresh_clientbusiness_vol_x86fre_en-us_6dd360606d5a8aa0d6d35ae3170deace95a167b9.esd","http://b1.download.windowsupdate.com/c/upgr/2022/05/19044.1706.220505-0136.21h2_release_svc_refresh_clientbusiness_vol_x86fre_en-us_6dd360606d5a8aa0d6d35ae3170deace95a167b9.esd","109 211 96 96 109 90 138 160 214 211 90 227 23 13 234 206 149 161 103 185","31 77 208 24 34 249 185 53 5 163 51 189 158 203 240 79 130 143 185 131 92 27 86 21 78 116 113 7 137 70 75 179","","","9e46f421-99fd-410e-bc02-bf35e3f51075","FeatureUpdate Windows 10 21H2","9e46f421-99fd-410e-bc02-bf35e3f51075"
"FeatureUpdate Windows 10 21H2","22.6.14.1","","Windows 10","21H2","x64","","5/23/2022 9:00:00 PM","3012973","19044 1706 220505 0136","Windows 10 (business editions) version 21H2 es-es x64 19044.1706","0102bd28-1010-4163-8e6c-2a6553059e24","","None","19044.1706.220505-0136.21h2_release_svc_refresh_CLIENTBUSINESS_VOL_x64FRE_es-es.esd","3861069362","Microsoft","Windows","Windows 10, version 1903 and later","Upgrades","Unspecified","","Software","Published","False","False","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","http://go.microsoft.com/fwlink/?LinkID=507415","Install the latest update for Windows 10: Windows 10, version 21H2.","","http://b1.download.windowsupdate.com/d/upgr/2022/05/19044.1706.220505-0136.21h2_release_svc_refresh_clientbusiness_vol_x64fre_es-es_47446234b7314614d5aee64add6766024e0e1f0a.esd","http://b1.download.windowsupdate.com/d/upgr/2022/05/19044.1706.220505-0136.21h2_release_svc_refresh_clientbusiness_vol_x64fre_es-es_47446234b7314614d5aee64add6766024e0e1f0a.esd","71 68 98 52 183 49 70 20 213 174 230 74 221 103 102 2 78 14 31 10","98 202 147 150 34 240 215 198 81 74 126 183 65 91 153 92 205 87 46 97 49 168 217 227 194 248 82 146 216 105 30 67","","","4abb8ab9-4a59-4094-a508-b022e8fc1641","FeatureUpdate Windows 10 21H2","4abb8ab9-4a59-4094-a508-b022e8fc1641"
"FeatureUpdate Windows 10 21H2","22.6.14.1","","Windows 10","21H2","x86","","5/23/2022 9:00:00 PM","3012973","19044 1706 220505 0136","Windows 10 (business editions) version 21H2 es-es x86 19044.1706","95c6157a-db2c-4ae3-93f7-6c9c6cfd658f","","None","19044.1706.220505-0136.21h2_release_svc_refresh_CLIENTBUSINESS_VOL_x86FRE_es-es.esd","2769458277","Microsoft","Windows","Windows 10, version 1903 and later","Upgrades","Unspecified","","Software","Published","False","False","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","http://go.microsoft.com/fwlink/?LinkID=507415","Install the latest update for Windows 10: Windows 10, version 21H2.","","http://b1.download.windowsupdate.com/c/upgr/2022/05/19044.1706.220505-0136.21h2_release_svc_refresh_clientbusiness_vol_x86fre_es-es_db431541f33fde8501e9118c2bb24dd2dc0e04e6.esd","http://b1.download.windowsupdate.com/c/upgr/2022/05/19044.1706.220505-0136.21h2_release_svc_refresh_clientbusiness_vol_x86fre_es-es_db431541f33fde8501e9118c2bb24dd2dc0e04e6.esd","219 67 21 65 243 63 222 133 1 233 17 140 43 178 77 210 220 14 4 230","103 28 230 70 232 202 207 4 211 2 255 55 236 54 185 102 145 127 232 99 160 98 136 174 110 143 183 147 253 58 49 24","","","8f19b0a2-3074-4ec1-b567-38ee64622b8e","FeatureUpdate Windows 10 21H2","8f19b0a2-3074-4ec1-b567-38ee64622b8e"
